Date,Day,Time,Speed,Direction
2020.08.03,Monday,09:58,111,1
2020.08.03,Monday,09:58,112,1
2020.08.03,Monday,09:58,83,1
2020.08.03,Monday,09:58,73,2
2020.08.03,Monday,09:58,72,2
2020.08.03,Monday,09:58,100,1
2020.08.03,Monday,09:58,77,2
2020.08.03,Monday,09:59,94,1
2020.08.03,Monday,09:59,67,2
2020.08.03,Monday,09:59,75,2
2020.08.03,Monday,09:59,58,2
2020.08.03,Monday,09:59,80,1
2020.08.03,Monday,10:00,91,1
2020.08.03,Monday,10:00,64,2
2020.08.03,Monday,10:00,95,1
2020.08.03,Monday,10:00,92,1
2020.08.03,Monday,10:00,81,1
2020.08.03,Monday,10:00,82,2
2020.08.03,Monday,10:00,129,2
2020.08.03,Monday,10:01,89,1
2020.08.03,Monday,10:01,162,2
2020.08.03,Monday,10:01,79,2
2020.08.03,Monday,10:01,76,1
2020.08.03,Monday,10:02,159,2
2020.08.03,Monday,10:02,52,2
2020.08.03,Monday,10:02,66,2
2020.08.03,Monday,10:02,59,2
2020.08.03,Monday,10:02,63,2
2020.08.03,Monday,10:02,81,1
2020.08.03,Monday,10:02,61,2
2020.08.03,Monday,10:02,129,1
2020.08.03,Monday,10:03,76,2
2020.08.03,Monday,10:03,91,1
2020.08.03,Monday,10:03,65,2
2020.08.03,Monday,10:03,55,2
2020.08.03,Monday,10:03,88,2
2020.08.03,Monday,10:04,99,1
2020.08.03,Monday,10:04,62,2
2020.08.03,Monday,10:04,80,1
2020.08.03,Monday,10:04,69,2
2020.08.03,Monday,10:04,77,2
2020.08.03,Monday,10:04,84,2
2020.08.03,Monday,10:04,107,2
2020.08.03,Monday,10:05,99,1
2020.08.03,Monday,10:05,86,1
2020.08.03,Monday,10:05,81,1
2020.08.03,Monday,10:05,85,2
2020.08.03,Monday,10:05,115,1
2020.08.03,Monday,10:05,69,2
2020.08.03,Monday,10:05,65,2
2020.08.03,Monday,10:06,56,2
2020.08.03,Monday,10:06,61,2
2020.08.03,Monday,10:06,114,2
2020.08.03,Monday,10:06,72,1
2020.08.03,Monday,10:06,72,1
2020.08.03,Monday,10:06,74,1
2020.08.03,Monday,10:06,71,2
2020.08.03,Monday,10:06,72,2
2020.08.03,Monday,10:06,68,2
2020.08.03,Monday,10:06,73,2
2020.08.03,Monday,10:06,97,1
2020.08.03,Monday,10:07,109,1
2020.08.03,Monday,10:07,54,2
2020.08.03,Monday,10:07,65,2
2020.08.03,Monday,10:07,58,2
2020.08.03,Monday,10:07,58,2
2020.08.03,Monday,10:07,117,1
2020.08.03,Monday,10:07,96,1
2020.08.03,Monday,10:07,92,1
2020.08.03,Monday,10:08,39,1
2020.08.03,Monday,10:08,82,1
2020.08.03,Monday,10:08,60,2
2020.08.03,Monday,10:08,78,1
2020.08.03,Monday,10:08,70,1
2020.08.03,Monday,10:08,137,1
2020.08.03,Monday,10:08,50,2
2020.08.03,Monday,10:09,54,2
2020.08.03,Monday,10:09,58,2
2020.08.03,Monday,10:09,73,2
2020.08.03,Monday,10:09,103,1
2020.08.03,Monday,10:10,45,2
2020.08.03,Monday,10:10,108,1
2020.08.03,Monday,10:11,92,1
2020.08.03,Monday,10:11,77,2
2020.08.03,Monday,10:12,67,2
2020.08.03,Monday,10:12,72,2
2020.08.03,Monday,10:12,69,2
2020.08.03,Monday,10:12,39,2
2020.08.03,Monday,10:12,77,2
2020.08.03,Monday,10:12,83,2
2020.08.03,Monday,10:13,77,2
2020.08.03,Monday,10:13,55,2
2020.08.03,Monday,10:13,77,1
2020.08.03,Monday,10:13,69,2
2020.08.03,Monday,10:13,79,1
2020.08.03,Monday,10:13,91,1
2020.08.03,Monday,10:13,83,1
2020.08.03,Monday,10:13,64,2
2020.08.03,Monday,10:13,96,1
2020.08.03,Monday,10:13,86,1
2020.08.03,Monday,10:14,82,1
2020.08.03,Monday,10:14,109,2
2020.08.03,Monday,10:14,69,2
2020.08.03,Monday,10:14,81,1
2020.08.03,Monday,10:14,78,1
2020.08.03,Monday,10:14,75,2
2020.08.03,Monday,10:14,68,1
2020.08.03,Monday,10:15,42,1
2020.08.03,Monday,10:15,104,1
2020.08.03,Monday,10:15,80,1
2020.08.03,Monday,10:15,74,1
2020.08.03,Monday,10:15,114,2
2020.08.03,Monday,10:16,104,1
2020.08.03,Monday,10:16,72,2
2020.08.03,Monday,10:16,77,2
2020.08.03,Monday,10:17,71,2
2020.08.03,Monday,10:17,95,1
2020.08.03,Monday,10:17,118,1
2020.08.03,Monday,10:17,64,2
2020.08.03,Monday,10:18,96,1
2020.08.03,Monday,10:18,92,2
2020.08.03,Monday,10:18,75,1
2020.08.03,Monday,10:18,114,1
2020.08.03,Monday,10:18,64,2
2020.08.03,Monday,10:18,66,1
2020.08.03,Monday,10:18,85,1
2020.08.03,Monday,10:19,106,1
2020.08.03,Monday,10:19,105,1
2020.08.03,Monday,10:19,86,1
2020.08.03,Monday,10:19,107,1
2020.08.03,Monday,10:19,58,2
2020.08.03,Monday,10:19,64,2
2020.08.03,Monday,10:19,62,1
2020.08.03,Monday,10:19,108,1
2020.08.03,Monday,10:20,64,2
2020.08.03,Monday,10:20,103,1
2020.08.03,Monday,10:20,64,2
2020.08.03,Monday,10:20,79,2
2020.08.03,Monday,10:20,79,2
2020.08.03,Monday,10:20,79,1
2020.08.03,Monday,10:20,87,1
2020.08.03,Monday,10:20,86,1
2020.08.03,Monday,10:21,64,2
2020.08.03,Monday,10:21,143,1
2020.08.03,Monday,10:21,79,1
2020.08.03,Monday,10:21,75,2
2020.08.03,Monday,10:21,96,1
2020.08.03,Monday,10:21,99,1
2020.08.03,Monday,10:21,86,1
2020.08.03,Monday,10:22,71,2
2020.08.03,Monday,10:22,54,2
2020.08.03,Monday,10:22,66,1
2020.08.03,Monday,10:22,106,1
2020.08.03,Monday,10:22,58,2
2020.08.03,Monday,10:23,86,1
2020.08.03,Monday,10:23,56,2
2020.08.03,Monday,10:23,97,1
2020.08.03,Monday,10:23,61,2
2020.08.03,Monday,10:23,52,2
2020.08.03,Monday,10:23,56,2
2020.08.03,Monday,10:23,65,2
2020.08.03,Monday,10:24,89,2
2020.08.03,Monday,10:24,104,1
2020.08.03,Monday,10:24,83,2
2020.08.03,Monday,10:24,81,1
2020.08.03,Monday,10:24,86,1
2020.08.03,Monday,10:24,138,1
2020.08.03,Monday,10:24,55,2
2020.08.03,Monday,10:25,84,1
2020.08.03,Monday,10:25,88,1
2020.08.03,Monday,10:25,80,2
2020.08.03,Monday,10:26,69,2
2020.08.03,Monday,10:26,70,1
2020.08.03,Monday,10:27,97,1
2020.08.03,Monday,10:27,82,1
2020.08.03,Monday,10:27,53,2
2020.08.03,Monday,10:27,85,1
2020.08.03,Monday,10:27,84,2
2020.08.03,Monday,10:27,77,1
2020.08.03,Monday,10:27,59,2
2020.08.03,Monday,10:28,48,2
2020.08.03,Monday,10:28,124,2
2020.08.03,Monday,10:28,109,2
2020.08.03,Monday,10:28,77,1
2020.08.03,Monday,10:28,76,2
2020.08.03,Monday,10:28,59,1
2020.08.03,Monday,10:28,59,2
2020.08.03,Monday,10:29,87,2
2020.08.03,Monday,10:29,72,2
2020.08.03,Monday,10:29,160,1
2020.08.03,Monday,10:29,95,1
2020.08.03,Monday,10:29,107,2
2020.08.03,Monday,10:29,109,1
2020.08.03,Monday,10:29,81,1
2020.08.03,Monday,10:30,114,1
2020.08.03,Monday,10:30,66,2
2020.08.03,Monday,10:30,96,1
2020.08.03,Monday,10:31,51,2
2020.08.03,Monday,10:31,166,1
2020.08.03,Monday,10:31,100,1
2020.08.03,Monday,10:31,76,1
2020.08.03,Monday,10:31,82,1
2020.08.03,Monday,10:31,92,1
2020.08.03,Monday,10:31,79,2
2020.08.03,Monday,10:31,77,1
2020.08.03,Monday,10:31,68,1
2020.08.03,Monday,10:32,84,2
2020.08.03,Monday,10:32,67,1
2020.08.03,Monday,10:32,123,2
2020.08.03,Monday,10:32,74,1
2020.08.03,Monday,10:32,70,2
2020.08.03,Monday,10:32,79,1
2020.08.03,Monday,10:33,79,2
2020.08.03,Monday,10:33,54,2
2020.08.03,Monday,10:33,93,1
2020.08.03,Monday,10:33,92,1
2020.08.03,Monday,10:33,74,1
2020.08.03,Monday,10:34,80,1
2020.08.03,Monday,10:34,70,1
2020.08.03,Monday,10:34,68,2
2020.08.03,Monday,10:34,59,2
